name,armorKind,materialClass,construction,priceSp,weightLb,deflect,armorRating,traits,hitLocations,bodyParts,coverageAtoms
"Gorget, Boiled",sectional,Boiled,,10,6.5,1,6,,Front Torso,Neck + Upper Chest,Neck (Front) | Neck (Back) | Upper Chest
"Rerebraces, Boiled",sectional,Boiled,,50,5,1,6,,Arms,Upper Arms,Upper Arm (Left) | Upper Arm (Right)
"Vambraces, Boiled",sectional,Boiled,,25,3.5,1,6,,Arms,Forearms + Elbows,Elbow (Left) | Forearm (Left) | Elbow (Right) | Forearm (Right)
"Sleeve, Boiled × 1",sectional,Boiled,,40,3.5,1,6,,Arms,Arm,Upper Arm | Elbow | Forearm
"Pauldron, Boiled × 1",sectional,Boiled,,15,1.5,2,6,Protective,Arms,Shoulder,Shoulder
"Skirt, Boiled",sectional,Boiled,,70,8.5,0,6,,Legs,Abdomen + Thighs,Abdomen | Thigh (Left) | Thigh (Right)
"Cuisses, Boiled",sectional,Boiled,,30,3,0,6,,Legs,Thighs,Thigh (Left) | Thigh (Right)
"Greaves, Boiled",sectional,Boiled,,60,5,0,6,,Legs,Shins + Knees,Knee (Left) | Shin (Left) | Knee (Right) | Shin (Right)
"Chestplate, Boiled",sectional,Boiled,,80,10,1,9,,Front Torso,Chest,Chest
"Breastplate, Boiled",sectional,Boiled,,150,10,1,9,,Front Torso,Front Torso,Upper Chest | Chest | Abdomen
"Backplate, Boiled",sectional,Boiled,,120,7.5,0,6,,Back Torso,Back Torso,Upper Back | Lower Back
"Rerebraces, Reinforced",sectional,Reinforced,,75,6,2,9,,Arms,Upper Arms,Upper Arm (Left) | Upper Arm (Right)
"Cuisses, Reinforced",sectional,Reinforced,,40,3.5,1,9,Bulky,Legs,Thighs,Thigh (Left) | Thigh (Right)
"Breastplate, Reinforced",sectional,Reinforced,,200,12,2,12,,Front Torso,Front Torso,Upper Chest | Chest | Abdomen
"Backplate, Reinforced",sectional,Reinforced,,150,9,1,9,,Back Torso,Back Torso,Upper Back | Lower Back
"Sollerets, Reinforced",sectional,Reinforced,,40,6,0,9,,Legs,Feet,Foot (Left) | Foot (Right)
"Gorget, Mail",sectional,Mail,,20,10.5,3,15,Mail,Front Torso,Neck + Upper Chest,Neck (Front) | Neck (Back) | Upper Chest
"Rerebraces, Mail",sectional,Mail,,100,8,3,15,Mail,Arms,Upper Arms,Upper Arm (Left) | Upper Arm (Right)
"Vambraces, Mail",sectional,Mail,,75,5.5,3,15,Mail,Arms,Forearms + Elbows,Elbow (Left) | Forearm (Left) | Elbow (Right) | Forearm (Right)
"Sleeve, Mail × 1",sectional,Mail,,100,5.5,3,15,Mail,Arms,Arm,Upper Arm | Elbow | Forearm
"Pauldron, Mail × 1",sectional,Mail,,35,3,4,15,Mail | Protective,Arms,Shoulder,Shoulder
"Skirt, Mail",sectional,Mail,,130,13.5,2,15,Mail,Legs,Abdomen + Thighs,Abdomen | Thigh (Left) | Thigh (Right)
"Cuisses, Mail",sectional,Mail,,55,5,2,15,Mail,Legs,Thighs,Thigh (Left) | Thigh (Right)
"Leggings, Mail",sectional,Mail,,200,16,2,12,Mail | Bulky,Legs,Legs,Thigh (Left) | Knee (Left) | Shin (Left) | Thigh (Right) | Knee (Right) | Shin (Right)
"Greaves, Mail",sectional,Mail,,180,8,1,12,Mail,Legs,Shins + Knees,Knee (Left) | Shin (Left) | Knee (Right) | Shin (Right)
"Chestplate, Mail",sectional,Mail,,200,16,3,18,Mail,Front Torso,Chest,Chest
"Breastplate, Mail",sectional,Mail,,350,16,3,18,Mail,Front Torso,Front Torso,Upper Chest | Chest | Abdomen
"Backplate, Mail",sectional,Mail,,300,12,2,15,Mail,Back Torso,Back Torso,Upper Back | Lower Back
