name,armorKind,materialClass,oldPriceSp,newPriceSp,deltaSp,basis,note
"Armor Set, Light (Soft)",set,Soft,500.0,250,-250.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Armor Set, Light (Boiled)",set,Boiled,600.0,350,-250.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Armor Set, Medium (Reinforced)",set,Reinforced,1000.0,600,-400.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Armor Set, Medium (Mail)",set,Mail,1200.0,800,-400.0,historical-anchor,full/half mail anchors 600–1340 sp; DXD medium set calibrated to 800 sp
"Armor Set, Heavy (Reinforced + Plate)",set,Reinforced + Plate,1500.0,1500,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Armor Set, Heavy (Mail + Plate)",set,Mail + Plate,2000.0,2400,400.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Armor Set, Field (Plate)",set,Plate,2500.0,4000,1500.0,historical-anchor,"armor, full, plate = 4000 sp"
"Jacket, Fur",sectional,Soft,100.0,120,20.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Jacket, Padded",sectional,Soft,200.0,250,50.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Jacket, Quilted",sectional,Soft,120.0,225,105.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Sleeve, Fur × 1",sectional,Soft,20.0,20,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Sleeve, Padded × 1",sectional,Soft,30.0,35,5.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Sleeve, Quilted × 1",sectional,Soft,25.0,30,5.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Leggings, Fur",sectional,Soft,60.0,60,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Leggings, Padded",sectional,Soft,100.0,110,10.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Leggings, Quilted",sectional,Soft,80.0,90,10.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Gorget, Boiled",sectional,Boiled,10.0,10,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Rerebraces, Boiled",sectional,Boiled,50.0,50,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Vambraces, Boiled",sectional,Boiled,15.0,25,10.0,historical-anchor,"sectional, vambraces, leather = 25 sp"
"Sleeve, Boiled × 1",sectional,Boiled,40.0,40,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Pauldron, Boiled × 1",sectional,Boiled,15.0,15,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Skirt, Boiled",sectional,Boiled,70.0,70,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Cuisses, Boiled",sectional,Boiled,30.0,30,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Greaves, Boiled",sectional,Boiled,40.0,60,20.0,historical-anchor,"sectional, greaves, boiled = 60 sp"
"Chestplate, Boiled",sectional,Boiled,100.0,80,-20.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Breastplate, Boiled",sectional,Boiled,250.0,150,-100.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Backplate, Boiled",sectional,Boiled,100.0,120,20.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Rerebraces, Reinforced",sectional,Reinforced,75.0,75,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Cuisses, Reinforced",sectional,Reinforced,40.0,40,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Breastplate, Reinforced",sectional,Reinforced,400.0,200,-200.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Backplate, Reinforced",sectional,Reinforced,150.0,150,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Sollerets, Reinforced",sectional,Reinforced,40.0,40,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Gorget, Mail",sectional,Mail,20.0,20,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Rerebraces, Mail",sectional,Mail,100.0,100,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Vambraces, Mail",sectional,Mail,35.0,75,40.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Sleeve, Mail × 1",sectional,Mail,80.0,100,20.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Pauldron, Mail × 1",sectional,Mail,35.0,35,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Skirt, Mail",sectional,Mail,130.0,130,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Cuisses, Mail",sectional,Mail,55.0,55,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Leggings, Mail",sectional,Mail,200.0,200,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Greaves, Mail",sectional,Mail,100.0,180,80.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Chestplate, Mail",sectional,Mail,200.0,200,0.0,retained-after-calibration,Existing price retained; consistent with neighboring historical anchors and DXD capability.
"Breastplate, Mail",sectional,Mail,550.0,350,-200.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
"Backplate, Mail",sectional,Mail,200.0,300,100.0,interpolated-calibration,"Interpolated from historical component/suit anchors, coverage, material, and neighboring DXD entries."
