next.config.ts(1,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
src/app/api/data-assets/[category]/[filename]/route.ts(1,26): error TS2307: Cannot find module 'node:fs/promises' or its corresponding type declarations.
src/app/api/data-assets/[category]/[filename]/route.ts(2,18): error TS2307: Cannot find module 'node:path' or its corresponding type declarations.
src/app/api/data-assets/[category]/[filename]/route.ts(3,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/data-assets/[category]/[filename]/route.ts(24,44): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`.
src/app/api/data-assets/[category]/[filename]/route.ts(27,26): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`.
src/app/character-app.tsx(3,81): error TS2307: Cannot find module 'react' or its corresponding type declarations.
src/app/character-app.tsx(60,63): error TS7006: Parameter 'action' implicitly has an 'any' type.
src/app/character-app.tsx(60,86): error TS7006: Parameter 'current' implicitly has an 'any' type.
src/app/character-app.tsx(65,134): error TS7006: Parameter 'key' implicitly has an 'any' type.
src/app/character-app.tsx(70,10): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,225): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,636): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,642): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,734): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,887): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,920): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1005): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1066): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1074): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1092): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1181): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1188): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1194): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1403): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1409): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1558): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1672): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1941): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-app.tsx(70,1954): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(3,46): error TS2307: Cannot find module 'react' or its corresponding type declarations.
src/app/character-library-panel.tsx(4,79): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
src/app/character-library-panel.tsx(100,46): error TS7006: Parameter 'entry' implicitly has an 'any' type.
src/app/character-library-panel.tsx(102,95): error TS18046: 'value' is of type 'unknown'.
src/app/character-library-panel.tsx(104,18): error TS7031: Binding element 'entry' implicitly has an 'any' type.
src/app/character-library-panel.tsx(104,35): error TS7031: Binding element 'identityValue' implicitly has an 'any' type.
src/app/character-library-panel.tsx(104,62): error TS7031: Binding element 'professionValue' implicitly has an 'any' type.
src/app/character-library-panel.tsx(109,14): error TS7006: Parameter 'left' implicitly has an 'any' type.
src/app/character-library-panel.tsx(109,20): error TS7006: Parameter 'right' implicitly has an 'any' type.
src/app/character-library-panel.tsx(119,25): error TS2556: A spread argument must either have a tuple type or be passed to a rest parameter.
src/app/character-library-panel.tsx(119,28): error TS7053: Element implicitly has an 'any' type because expression of type 'any' can't be used to index type 'Record<SortColumn, [string, string]>'.
src/app/character-library-panel.tsx(131,55): error TS7006: Parameter 'current' implicitly has an 'any' type.
src/app/character-library-panel.tsx(134,75): error TS7006: Parameter 'current' implicitly has an 'any' type.
src/app/character-library-panel.tsx(135,77): error TS2503: Cannot find namespace 'React'.
src/app/character-library-panel.tsx(137,12): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(137,469): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(141,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(143,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(143,100): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(144,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(145,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(146,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(148,52): error TS7006: Parameter 'event' implicitly has an 'any' type.
src/app/character-library-panel.tsx(149,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(150,134): error TS7006: Parameter 'value' implicitly has an 'any' type.
src/app/character-library-panel.tsx(153,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(154,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(155,55): error TS7006: Parameter 'value' implicitly has an 'any' type.
src/app/character-library-panel.tsx(155,74): error TS7006: Parameter 'current' implicitly has an 'any' type.
src/app/character-library-panel.tsx(165,87): error TS7006: Parameter 'current' implicitly has an 'any' type.
src/app/character-library-panel.tsx(168,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(168,103): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(169,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(170,31): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(171,54): error TS7006: Parameter 'event' implicitly has an 'any' type.
src/app/character-library-panel.tsx(172,56): error TS7006: Parameter 'event' implicitly has an 'any' type.
src/app/character-library-panel.tsx(173,54): error TS7006: Parameter 'event' implicitly has an 'any' type.
src/app/character-library-panel.tsx(175,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(176,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(178,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(179,29): error TS7031: Binding element 'entry' implicitly has an 'any' type.
src/app/character-library-panel.tsx(179,46): error TS7031: Binding element 'identityValue' implicitly has an 'any' type.
src/app/character-library-panel.tsx(179,73): error TS7031: Binding element 'professionValue' implicitly has an 'any' type.
src/app/character-library-panel.tsx(179,95): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(180,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(181,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(182,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(183,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(183,80): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(184,71): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(184,134): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(185,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(185,58): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(186,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(186,55): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(187,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(188,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(189,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(190,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(190,58): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(190,63): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(190,67): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(190,113): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(190,121): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(190,197): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(190,204): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(191,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(191,59): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(191,64): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(191,134): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(192,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(194,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(195,33): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(195,196): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(196,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(198,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(199,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(200,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(200,130): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,49): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,76): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,83): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,110): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,139): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,168): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(201,196): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(202,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(203,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(204,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(204,53): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(205,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(205,46): error TS2741: Property 'children' is missing in type '{ column: "name"; }' but required in type '{ column: SortColumn; children: React.ReactNode; }'.
src/app/character-library-panel.tsx(205,98): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(206,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(206,46): error TS2741: Property 'children' is missing in type '{ column: "identity"; }' but required in type '{ column: SortColumn; children: React.ReactNode; }'.
src/app/character-library-panel.tsx(206,113): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(207,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(207,46): error TS2741: Property 'children' is missing in type '{ column: "profession"; }' but required in type '{ column: SortColumn; children: React.ReactNode; }'.
src/app/character-library-panel.tsx(207,108): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(208,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(208,46): error TS2741: Property 'children' is missing in type '{ column: "updated"; }' but required in type '{ column: SortColumn; children: React.ReactNode; }'.
src/app/character-library-panel.tsx(208,94): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(209,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(209,46): error TS2741: Property 'children' is missing in type '{ column: "filename"; }' but required in type '{ column: SortColumn; children: React.ReactNode; }'.
src/app/character-library-panel.tsx(209,96): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(210,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(211,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(212,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(213,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(214,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(214,74): error TS7006: Parameter 'event' implicitly has an 'any' type.
src/app/character-library-panel.tsx(214,231): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(215,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(215,78): error TS7006: Parameter 'event' implicitly has an 'any' type.
src/app/character-library-panel.tsx(215,270): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(216,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(216,80): error TS7006: Parameter 'event' implicitly has an 'any' type.
src/app/character-library-panel.tsx(216,263): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(217,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(218,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(218,78): error TS7006: Parameter 'event' implicitly has an 'any' type.
src/app/character-library-panel.tsx(218,230): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(219,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(219,178): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(220,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(221,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(222,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(223,33): error TS7031: Binding element 'entry' implicitly has an 'any' type.
src/app/character-library-panel.tsx(223,50): error TS7031: Binding element 'identityValue' implicitly has an 'any' type.
src/app/character-library-panel.tsx(223,77): error TS7031: Binding element 'professionValue' implicitly has an 'any' type.
src/app/character-library-panel.tsx(223,99): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(224,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(224,35): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(224,243): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(225,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(225,47): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(225,90): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(225,153): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(225,237): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(225,245): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(226,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(226,50): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(227,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(227,52): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(228,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(228,65): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(228,129): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(228,136): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(228,218): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(228,225): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(229,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(229,81): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(230,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(230,117): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(231,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(232,37): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(232,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(232,197): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(232,202): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(233,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(234,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(235,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-library-panel.tsx(236,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(2,19): error TS2307: Cannot find module 'next/image' or its corresponding type declarations.
src/app/character-sheet.tsx(8,3): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(9,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(9,41): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(10,3): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(20,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(24,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(25,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(26,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(27,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(27,71): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(28,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(29,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(29,69): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(30,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(30,78): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(31,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(32,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(32,74): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(33,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/character-sheet.tsx(34,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
